Date,Image Number,Star ID,Object ID,RA (icrs),Dec (icrs),Img_Mag (APT),e_Img_Mag (APT),Real Magnitude (From Catalogue),Zero Point,median_ZP,e_ZP,e_Mag,median_error,Mag of RR Lyre
19/03/2021,1,0,144421981114625904,13:12:26.779, +30:21:15.42,-14.276,0.0019,-,,,,,,13.1559
,1,1,144381982138752953,13:12:51.314, +30:19:06.64,-14.4156,0.0017,13.0371,27.4527,27.4319,0.04318992938,0.04488992938,0.04508992938,-
,1,2,144391981987097443,13:12:47.572, +30:19:50.48,-12.9096,0.004,14.5027,27.4123,,,0.04718992938,,-
,1,3,144451981516126743,13:12:36.409, +30:22:48.64,-11.2459,0.0132,16.2778,27.5237,,,0.05638992938,,-
,1,4,144431981289875803,13:12:30.983, +30:21:45.62,-11.696,0.0091,15.7268,27.4228,,,0.05228992938,,-
,1,5,144381980779088386,13:12:18.758, +30:19:23.18,-13.9164,0.0023,13.5155,27.4319,,,0.04548992938,,-
,2,0,144421981114625904,13:12:26.779, +30:21:15.42,-14.2990,0.0018,-,,,,,,13.1519
,2,1,144381982138752953,13:12:51.314, +30:19:06.64,-14.4359,0.0039,13.0371,27.473,27.4509,0.04615551971,0.05005551971,0.04795551971,-
,2,2,144391981987097443,13:12:47.572, +30:19:50.48,-12.9282,0.004,14.5027,27.4309,,,0.05015551971,,-
,2,3,144451981516126743,13:12:36.409, +30:22:48.64,-11.269,0.0121,16.2778,27.5468,,,0.05825551971,,-
,2,4,144431981289875803,13:12:30.983, +30:21:45.62,-11.7003,0.0091,15.7268,27.4271,,,0.05525551971,,-
,2,5,144381980779088386,13:12:18.758, +30:19:23.18,-13.9354,0.0022,13.5155,27.4509,,,0.04835551971,,-
,3,0,144421981114625904,13:12:26.779, +30:21:15.42,-14.3568,0.0017,-,-,,,,,13.1692
,3,1,144381982138752953,13:12:51.314, +30:19:06.64,-14.5194,0.0016,13.0371,27.5565,27.526,0.05639695027,0.05799695027,0.05809695027,
,3,2,144391981987097443,13:12:47.572, +30:19:50.48,-13.0233,0.0036,14.5027,27.526,,,0.05999695027,,
,3,3,144451981516126743,13:12:36.409, +30:22:48.64,-11.3703,0.0118,16.2778,27.6481,,,0.06819695027,,
,3,4,144431981289875803,13:12:30.983, +30:21:45.62,-11.7951,0.0084,15.7268,27.5219,,,0.06479695027,,
,3,5,144381980779088386,13:12:18.758, +30:19:23.18,-14.0036,0.0021,13.5155,27.5191,,,0.05849695027,,
,4,0,144421981114625904,13:12:26.779, +30:21:15.42,-14.3624,0.0017,-,-,,,,,13.1696
,4,1,144381982138752953,13:12:51.314, +30:19:06.64,-14.5281,0.0015,13.0371,27.5652,27.532,0.07967712344,0.08117712344,0.08137712344,
,4,2,144391981987097443,13:12:47.572, +30:19:50.48,-12.9311,0.0033,14.5027,27.4338,,,0.08297712344,,
,4,3,144451981516126743,13:12:36.409, +30:22:48.64,-11.3649,0.0099,16.2778,27.6427,,,0.08957712344,,
,4,4,144431981289875803,13:12:30.983, +30:21:45.62,-11.7117,0.0065,15.7268,27.4385,,,0.08617712344,,
,4,5,144381980779088386,13:12:18.758, +30:19:23.18,-14.0165,0.002,13.5155,27.532,,,0.08167712344,,
